[2021-11-30 11:03:25.213] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:25.213] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:25.747] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:25.859] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:25.916] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:25.916] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:26.572] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:26.621] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:29.807] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:30.308] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:30.805] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:32.232] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:32.291] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:34.933] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:36.056] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:36.933] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:38.181] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:40.810] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:40.875] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:44.793] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:45.169] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:47.885] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:50.031] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:50.032] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:52.310] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:55.787] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:03:57.150] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 12:40:51.178] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\main.cpp::355::Helper process started
